Index,category index,brand,link
63,11,boAt,https://www.amazon.in/s?bbn=976392031&rh=n%3A976392031%2Cp_89%3AboAt&dc&qid=1687369704&rnid=3837712031&ref=lp_976393031_nr_p_89_0
64,11,LS LAPSTER Quality Assured,https://www.amazon.in/s?bbn=976392031&rh=n%3A976392031%2Cp_89%3ALS+LAPSTER+Quality+Assured&dc&qid=1687369704&rnid=3837712031&ref=lp_976393031_nr_p_89_1
65,11,Xiaomi,https://www.amazon.in/s?bbn=976392031&rh=n%3A976392031%2Cp_89%3AXiaomi&dc&qid=1687369704&rnid=3837712031&ref=lp_976393031_nr_p_89_2
66,11,SanDisk,https://www.amazon.in/s?bbn=976392031&rh=n%3A976392031%2Cp_89%3ASanDisk&dc&qid=1687369704&rnid=3837712031&ref=lp_976393031_nr_p_89_3
67,11,STRIFF,https://www.amazon.in/s?bbn=976392031&rh=n%3A976392031%2Cp_89%3ASTRIFF&dc&qid=1687369704&rnid=3837712031&ref=lp_976393031_nr_p_89_4
68,11,Fire-Boltt,https://www.amazon.in/s?bbn=976392031&rh=n%3A976392031%2Cp_89%3AFire-Boltt&dc&qid=1687369704&rnid=3837712031&ref=lp_976393031_nr_p_89_5
69,11,Logitech,https://www.amazon.in/s?bbn=976392031&rh=n%3A976392031%2Cp_89%3ALogitech&dc&qid=1687369704&rnid=3837712031&ref=lp_976393031_nr_p_89_6
70,12,ASUS,https://www.amazon.in/s?bbn=1375424031&rh=n%3A1375424031%2Cp_89%3AASUS&dc&qid=1687369707&rnid=3837712031&ref=lp_1375424031_nr_p_89_0
71,12,Apple,https://www.amazon.in/s?bbn=1375424031&rh=n%3A1375424031%2Cp_89%3AApple&dc&qid=1687369707&rnid=3837712031&ref=lp_1375424031_nr_p_89_1
72,12,Lenovo,https://www.amazon.in/s?bbn=1375424031&rh=n%3A1375424031%2Cp_89%3ALenovo&dc&qid=1687369707&rnid=3837712031&ref=lp_1375424031_nr_p_89_2
73,12,HP,https://www.amazon.in/s?bbn=1375424031&rh=n%3A1375424031%2Cp_89%3AHP&dc&qid=1687369707&rnid=3837712031&ref=lp_1375424031_nr_p_89_3
74,12,Acer,https://www.amazon.in/s?bbn=1375424031&rh=n%3A1375424031%2Cp_89%3AAcer&dc&qid=1687369707&rnid=3837712031&ref=lp_1375424031_nr_p_89_4
75,12,Dell,https://www.amazon.in/s?bbn=1375424031&rh=n%3A1375424031%2Cp_89%3ADell&dc&qid=1687369707&rnid=3837712031&ref=lp_1375424031_nr_p_89_5
76,12,Honor,https://www.amazon.in/s?bbn=1375424031&rh=n%3A1375424031%2Cp_89%3AHonor&dc&qid=1687369707&rnid=3837712031&ref=lp_1375424031_nr_p_89_6
77,13,SanDisk,https://www.amazon.in/s?bbn=1375393031&rh=n%3A1375393031%2Cp_89%3ASanDisk&dc&qid=1687369711&rnid=3837712031&ref=lp_1375393031_nr_p_89_0
78,13,HP,https://www.amazon.in/s?bbn=1375393031&rh=n%3A1375393031%2Cp_89%3AHP&dc&qid=1687369711&rnid=3837712031&ref=lp_1375393031_nr_p_89_1
79,13,Seagate,https://www.amazon.in/s?bbn=1375393031&rh=n%3A1375393031%2Cp_89%3ASeagate&dc&qid=1687369711&rnid=3837712031&ref=lp_1375393031_nr_p_89_2
80,13,Western Digital,https://www.amazon.in/s?bbn=1375393031&rh=n%3A1375393031%2Cp_89%3AWestern+Digital&dc&qid=1687369711&rnid=3837712031&ref=lp_1375393031_nr_p_89_3
81,13,Brand Conquer,https://www.amazon.in/s?bbn=1375393031&rh=n%3A1375393031%2Cp_89%3ABrand+Conquer&dc&qid=1687369711&rnid=3837712031&ref=lp_1375393031_nr_p_89_4
82,13,TOSHIBA,https://www.amazon.in/s?bbn=1375393031&rh=n%3A1375393031%2Cp_89%3ATOSHIBA&dc&qid=1687369711&rnid=3837712031&ref=lp_1375393031_nr_p_89_5
83,13,Verilux,https://www.amazon.in/s?bbn=1375393031&rh=n%3A1375393031%2Cp_89%3AVerilux&dc&qid=1687369711&rnid=3837712031&ref=lp_1375393031_nr_p_89_6
84,14,HP,https://www.amazon.in/s?bbn=1375443031&rh=n%3A1375443031%2Cp_89%3AHP&dc&qid=1687369713&rnid=3837712031&ref=lp_1375443031_nr_p_89_0
85,14,Epson,https://www.amazon.in/s?bbn=1375443031&rh=n%3A1375443031%2Cp_89%3AEpson&dc&qid=1687369713&rnid=3837712031&ref=lp_1375443031_nr_p_89_1
86,14,EPSON,https://www.amazon.in/s?bbn=1375443031&rh=n%3A1375443031%2Cp_89%3AEPSON&dc&qid=1687369713&rnid=3837712031&ref=lp_1375443031_nr_p_89_2
87,14,Canon,https://www.amazon.in/s?bbn=1375443031&rh=n%3A1375443031%2Cp_89%3ACanon&dc&qid=1687369713&rnid=3837712031&ref=lp_1375443031_nr_p_89_3
88,14,BROTHER,https://www.amazon.in/s?bbn=1375443031&rh=n%3A1375443031%2Cp_89%3ABROTHER&dc&qid=1687369713&rnid=3837712031&ref=lp_1375443031_nr_p_89_4
89,14,Brother,https://www.amazon.in/s?bbn=1375443031&rh=n%3A1375443031%2Cp_89%3ABrother&dc&qid=1687369713&rnid=3837712031&ref=lp_1375443031_nr_p_89_5
90,14,Everycom,https://www.amazon.in/s?bbn=1375443031&rh=n%3A1375443031%2Cp_89%3AEverycom&dc&qid=1687369713&rnid=3837712031&ref=lp_1375443031_nr_p_89_6
91,15,OAKTER,https://www.amazon.in/s?bbn=1375427031&rh=n%3A1375427031%2Cp_89%3AOAKTER&dc&qid=1687369715&rnid=3837712031&ref=lp_1375427031_nr_p_89_0
92,15,TP-Link,https://www.amazon.in/s?bbn=1375427031&rh=n%3A1375427031%2Cp_89%3ATP-Link&dc&qid=1687369715&rnid=3837712031&ref=lp_1375427031_nr_p_89_1
93,15,RESONATE,https://www.amazon.in/s?bbn=1375427031&rh=n%3A1375427031%2Cp_89%3ARESONATE&dc&qid=1687369715&rnid=3837712031&ref=lp_1375427031_nr_p_89_2
